tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt7918116	tvEpisode	Episode dated 23 January 2018	Episode dated 23 January 2018	0	2018	\N	\N	News,Talk-Show
tt7918118	tvEpisode	Street Floor Swing Shop	Street Floor Swing Shop	0	1951	\N	\N	Comedy,Drama
tt7918124	tvEpisode	Protect and Serve	Protect and Serve	0	2017	\N	\N	Crime,Drama,Mystery
tt7918126	short	The Crack	The Crack	0	2017	\N	13	Mystery,Short
tt7918128	tvEpisode	The Amiable Mr. Heath	The Amiable Mr. Heath	0	1951	\N	\N	Comedy,Drama
tt7918130	tvEpisode	Tubthumping	Tubthumping	0	2017	\N	\N	Crime,Drama,Mystery
tt7918132	tvEpisode	Semana Ocho	Semana Ocho	0	2016	\N	\N	Talk-Show
tt7918134	tvEpisode	Dingfest gemacht	Dingfest gemacht	0	2018	\N	\N	Drama,Romance
tt7918136	short	Weeping in the Fire of the Sun	Weeping in the Fire of the Sun	0	2017	\N	5	Short
tt7918138	movie	Dada Ho Dikri	Dada Ho Dikri	0	1977	\N	\N	\N
tt7918140	short	Micro	Micro	0	2017	\N	\N	Drama,Short
tt7918142	tvEpisode	Everybody's in the Act	Everybody's in the Act	0	1951	\N	\N	Comedy,Drama
tt7918144	short	Restoration	Restoration	0	2015	\N	10	Documentary,Short
tt7918146	tvEpisode	Her Name Was Casey	Her Name Was Casey	0	2017	\N	\N	Crime,Drama,Mystery
tt7918150	short	Libélulas	Libélulas	0	2017	\N	\N	Drama,Short
